Model,Version,R2 Score,MAE
Linear Regression,V1 (Basic),0.79670508596717,0.20476044756025757
Random Forest,V1 (Basic),0.8627677333787196,0.1665035250955196
Gradient Boosting,V1 (Basic),0.8744627184849898,0.16099801921582976
ExtraTrees,V1 (Basic),0.8699163756169853,0.1637735702467334
Linear Regression,V2 (Engineered),0.7848963756085957,0.20811667070622306
Random Forest,V2 (Engineered),0.8654135159971751,0.16828528703251544
Gradient Boosting,V2 (Engineered),0.8747865094951894,0.1617991373594193
ExtraTrees,V2 (Engineered),0.8673047790171708,0.16385297250325184
